date,elpased time,theoreticalPSI/Channel0,actualPSI/Channel0,actualPSI/Channel1,actualPSI/Channel2
2022/04/01 17:53:43,1.013,14.000,14.050,12.150,12.110
2022/04/01 17:53:44,2.069,14.100,14.030,12.140,12.110
2022/04/01 17:53:45,3.131,14.200,14.160,12.150,12.110
2022/04/01 17:53:46,4.193,14.300,14.150,12.140,12.110
2022/04/01 17:53:47,5.253,14.400,14.380,12.150,12.110
2022/04/01 17:53:48,6.314,14.500,14.370,12.140,12.110
2022/04/01 17:53:49,7.376,14.600,14.470,12.140,12.110
2022/04/01 17:53:51,8.437,14.700,14.590,12.150,12.110
2022/04/01 17:53:52,9.483,14.800,14.660,12.140,12.110
2022/04/01 17:53:53,10.547,14.900,14.830,12.140,12.110
2022/04/01 17:53:54,11.595,15.000,14.920,12.140,12.110
2022/04/01 17:53:55,12.659,15.100,14.960,12.150,12.110
2022/04/01 17:53:56,13.720,15.200,15.070,12.150,12.110
2022/04/01 17:53:57,14.783,15.300,15.160,12.140,12.110
2022/04/01 17:53:58,15.846,15.400,15.210,12.150,12.110
2022/04/01 17:53:59,16.892,15.500,15.360,12.140,12.110
2022/04/01 17:54:00,17.955,15.600,15.460,12.140,12.110
2022/04/01 17:54:01,19.016,15.700,15.430,12.140,12.110
2022/04/01 17:54:02,20.078,15.800,15.580,12.150,12.110
2022/04/01 17:54:03,21.141,15.900,15.420,12.140,12.110
2022/04/01 17:54:04,22.204,16.000,15.270,12.140,12.110
2022/04/01 17:58:43,1.013,14.000,12.180,12.360,13.970
2022/04/01 17:58:44,2.076,14.100,12.180,12.360,13.960
2022/04/01 17:58:45,3.135,14.200,12.180,12.360,14.200
2022/04/01 17:58:46,4.200,14.300,12.180,12.360,14.190
2022/04/01 17:58:47,5.257,14.400,12.180,12.360,14.300
2022/04/01 17:58:48,6.322,14.500,12.180,12.360,14.440
2022/04/01 17:58:49,7.385,14.600,12.180,12.360,14.530
2022/04/01 17:58:50,8.450,14.700,12.180,12.360,14.590
2022/04/01 17:58:51,9.511,14.800,12.180,12.360,14.670
2022/04/01 17:58:53,10.576,14.900,12.180,12.360,14.840
2022/04/01 17:58:54,11.636,15.000,12.180,12.360,14.890
2022/04/01 17:58:55,12.698,15.100,12.180,12.360,14.960
2022/04/01 17:58:56,13.764,15.200,12.180,12.360,15.070
2022/04/01 17:58:57,14.826,15.300,12.180,12.360,15.200
2022/04/01 17:58:58,15.890,15.400,12.180,12.360,15.260
2022/04/01 17:58:59,16.952,15.500,12.180,12.360,15.400
2022/04/01 17:59:00,17.999,15.600,12.180,12.360,15.460
2022/04/01 17:59:01,19.061,15.700,12.180,12.360,15.560
2022/04/01 17:59:02,20.108,15.800,12.180,12.360,15.670
2022/04/01 17:59:03,21.175,15.900,12.180,12.360,15.760
2022/04/01 17:59:04,22.234,16.000,12.180,12.370,15.850
