date,elpased time,theoreticalPSI/Channel0,actualPSI/Channel0,actualPSI/Channel1,actualPSI/Channel2
2022/03/31 19:20:08,1.022,14.000,13.990,12.120,12.180
2022/03/31 19:20:09,2.126,14.100,13.980,12.130,12.180
2022/03/31 19:20:11,3.228,14.200,14.210,12.130,12.180
2022/03/31 19:20:12,4.314,14.300,14.190,12.130,12.180
2022/03/31 19:20:13,5.415,14.400,14.300,12.130,12.180
2022/03/31 19:20:14,6.530,14.500,14.570,12.130,12.180
2022/03/31 19:20:15,7.627,14.600,14.560,12.130,12.180
2022/03/31 19:20:16,8.721,14.700,14.730,12.130,12.180
2022/03/31 19:20:17,9.823,14.800,14.720,12.130,12.180
2022/03/31 19:20:18,10.929,14.900,14.920,12.130,12.180
2022/03/31 19:20:19,12.030,15.000,14.900,12.130,12.180
2022/03/31 19:20:20,13.134,15.100,14.980,12.130,12.180
2022/03/31 19:20:22,14.248,15.200,15.090,12.130,12.180
2022/03/31 19:20:23,15.353,15.300,15.210,12.130,12.180
2022/03/31 19:20:24,16.457,15.400,15.270,12.130,12.180
2022/03/31 19:20:25,17.544,15.500,15.380,12.140,12.180
2022/03/31 19:20:26,18.640,15.600,15.500,12.130,12.180
2022/03/31 19:20:27,19.741,15.700,15.450,12.130,12.180
2022/03/31 19:20:28,20.838,15.800,15.580,12.130,12.180
2022/03/31 19:20:29,21.929,15.900,15.660,12.140,12.180
2022/03/31 19:20:30,23.028,16.000,15.860,12.140,12.180
