date,elpased time,theoreticalPSI/Channel0,actualPSI/Channel0,actualPSI/Channel1,actualPSI/Channel2
2022/03/31 19:21:44,1.022,14.000,12.260,12.330,14.030
2022/03/31 19:21:46,2.122,14.100,12.270,12.330,14.020
2022/03/31 19:21:47,3.235,14.200,12.270,12.330,14.120
2022/03/31 19:21:48,4.349,14.300,12.270,12.330,14.410
2022/03/31 19:21:49,5.455,14.400,12.280,12.330,14.400
2022/03/31 19:21:50,6.559,14.500,12.280,12.320,14.400
2022/03/31 19:21:51,7.658,14.600,12.280,12.320,14.590
2022/03/31 19:21:52,8.768,14.700,12.280,12.320,14.580
2022/03/31 19:21:53,9.869,14.800,12.280,12.320,14.780
2022/03/31 19:21:54,10.970,14.900,12.290,12.320,14.770
2022/03/31 19:21:56,12.070,15.000,12.290,12.320,14.910
2022/03/31 19:21:57,13.170,15.100,12.290,12.320,15.040
2022/03/31 19:21:58,14.283,15.200,12.290,12.320,15.160
2022/03/31 19:21:59,15.386,15.300,12.290,12.320,15.260
2022/03/31 19:22:00,16.484,15.400,12.290,12.320,15.330
2022/03/31 19:22:01,17.585,15.500,12.290,12.320,15.380
2022/03/31 19:22:02,18.688,15.600,12.290,12.320,15.500
2022/03/31 19:22:03,19.791,15.700,12.290,12.320,15.600
2022/03/31 19:22:04,20.877,15.800,12.290,12.320,15.680
2022/03/31 19:22:05,21.979,15.900,12.290,12.320,15.760
2022/03/31 19:22:07,23.086,16.000,12.300,12.320,15.860
