date,elpased time,theoreticalPSI/Channel0,actualPSI/Channel0,actualPSI/Channel1,actualPSI/Channel2
4/1/2022 17:56,1.021,14,12.19,13.87,12.11
4/1/2022 17:56,2.087,14.1,12.19,14,12.11
4/1/2022 17:56,3.137,14.2,12.19,14.06,12.11
4/1/2022 17:56,4.203,14.3,12.19,14.22,12.11
4/1/2022 17:56,5.267,14.4,12.19,14.29,12.11
4/1/2022 17:56,6.328,14.5,12.19,14.4,12.11
4/1/2022 17:56,7.39,14.6,12.19,14.5,12.11
4/1/2022 17:56,8.456,14.7,12.19,14.6,12.11
4/1/2022 17:56,9.499,14.8,12.19,14.68,12.11
4/1/2022 17:56,10.557,14.9,12.19,14.61,12.11
4/1/2022 17:56,11.619,15,12.19,14.93,12.11
4/1/2022 17:56,12.68,15.1,12.19,15,12.11
4/1/2022 17:56,13.746,15.2,12.19,15.11,12.11
4/1/2022 17:56,14.794,15.3,12.19,15.15,12.11
4/1/2022 17:56,15.856,15.4,12.19,15.28,12.11
4/1/2022 17:56,16.919,15.5,12.19,15.38,12.11
4/1/2022 17:56,17.966,15.6,12.19,15.48,12.11
4/1/2022 17:56,19.025,15.7,12.19,15.47,12.11
4/1/2022 17:56,20.084,15.8,12.19,15.65,12.11
4/1/2022 17:56,21.147,15.9,12.19,15.76,12.11
4/1/2022 17:56,22.21,16,12.19,15.89,12.11
